iteratie, x pos,y pos,deltavx,deltavy, lichtcoefficient
2640,30.090514091594727,1.3482826203969882,-0.0011699275654968907,-0.003933916420593218,0.3332595714594046
2650,30.18442341747029,1.3201562025580933,-0.0011670199860770295,-0.003948520042380358,0.3332595714594046
2660,30.27821607027414,1.2916347874266276,-0.0011641232328062608,-0.0039630692887012015,0.3332595714594046
2670,30.371892339574078,1.262716920618005,-0.0011612372520024385,-0.0039775644291799375,0.3332595714594046
2680,30.465452513861187,1.23340115315555,-0.001158361990315751,-0.003992005731771577,0.3332595714594046
2690,30.558896880555178,1.2036860414437198,-0.0011554973947262475,-0.004006393462774372,0.3332595714594046
2700,30.65222572600968,1.1735701472414897,-0.001152643412541396,-0.004020727886842073,0.3332595714594046
2710,30.745439335517485,1.1430520376359043,-0.0011497999913936603,-0.004035009266996108,0.3332595714594046
2720,30.83853799331582,1.1121302850157913,-0.001146967079238098,-0.00404923786463765,0.3332595714594046
2730,30.93152198259153,1.0808034670456381,-0.0011441446243499753,-0.004063413939559579,0.3332595714594046
2740,31.024391585486228,1.0490701666396292,-0.00114133257532241,-0.004077537749958339,0.3332595714594046
2750,31.117147083101464,1.0169289719358396,-0.0011385308810640303,-0.0040916095524456955,0.3332595714594046
2760,31.209788755503816,0.9843784762705917,-0.0011357394907966485,-0.0041056296020604,0.3332595714594046
2770,31.302316881729965,0.9514172781529658,-0.0011329583540529663,-0.004119598152279741,0.3332595714594046
2780,31.394731739791737,0.9180439812394693,-0.0011301874206742924,-0.004133515455030995,0.3332595714594046
2790,31.487033606681127,0.8842571943088573,-0.0011274266408082747,-0.00414738176070281,0.3332595714594046
2800,31.57922275837526,0.8500555312371102,-0.001124675964906666,-0.004161197318156444,0.3332595714594046
2810,31.671299469841372,0.8154376109725627,-0.0011219353437230957,-0.004174962374736945,0.3332595714594046
2820,31.763264015041706,0.7804020575111841,-0.001119204728310867,-0.0041886771762842155,0.3332595714594046
2830,31.855116666938404,0.7449474998720088,-0.0011164840700207711,-0.004202341967143999,0.3332595714594046
2840,31.946857697498398,0.7090725720727173,-0.0011137733204989193,-0.0042159569901787574,0.3332595714594046
2850,32.03848737769822,0.6727759131053641,-0.0011110724316845952,-0.004229522486778464,0.3332595714594046
2860,32.130005977528796,0.6360561669122532,-0.0011083813558081246,-0.00424303869687131,0.3332595714594046
2870,32.22141376600023,0.5989119823619603,-0.0011057000453887616,-0.004256505858934305,0.3332595714594046
2880,32.312711011146575,0.5613420132254987,-0.0011030284532325943,-0.004269924210003808,0.3332595714594046
2890,32.403897980030486,0.523344918152631,-0.0011003665324304682,-0.004283293985685955,0.3332595714594046
2900,32.494974938747994,0.48491936064832114,-0.00109771423635593,-0.004296615420166987,0.3332595714594046
2910,32.58594215243309,0.4460640090493315,-0.00109507151866318,-0.004309888746223528,0.3332595714594046
2920,32.67679988526238,0.40677753650095816,-0.0010924383332850509,-0.004323114195232747,0.3332595714594046
2930,32.76754840045972,0.3670586209339071,-0.0010898146344309977,-0.004336291997182444,0.3332595714594046
2940,32.85818796030075,0.32690594504130943,-0.00108720037658511,-0.004349422380681042,0.3332595714594046
2950,32.94871882611747,0.28631819625587424,-0.0010845955145041357,-0.0043625055729675085,0.3332595714594046
2960,33.03914125830274,0.24529406672717802,-0.0010820000032155223,-0.00437554179992119,0.3332595714594046
2970,33.12945551631483,0.20383225329909027,-0.001079413798015478,-0.004388531286071561,0.3332595714594046
2980,33.219661858681775,0.1619314574873341,-0.0010768368544670443,-0.004401474254607888,0.3332595714594046
2990,33.309760543005936,0.1195903854571803,-0.001074269128398189,-0.004414370927388828,0.3332595714594046
3000,33.399751825968345,0.07680774800127498,-0.0010717105758999124,-0.004427221524951925,0.3332595714594046
3010,33.489635963333114,0.03358226051759847,-0.001069161153324368,-0.004440026266523051,0.3332595714594046
